考區,申請系所,FCU,FCU_AM
國立中興高中,"逢甲大學應用數學系
東海大學應用數學系",0,0
國立虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
逢甲大學環境工程與科學學系",1,0
高雄市立左營高中,"逢甲大學應用數學系
靜宜大學生態人文學系-類繁星
靜宜大學化粧品科學系-類繁星
長榮大學保健營養學系",0,0
國立台南二中,"逢甲大學應用數學系
逢甲大學統計學系",1,1
國立臺中二中,"逢甲大學應用數學系
東吳大學數學系
逢甲大學統計學系
逢甲大學資訊電機學院不分系榮譽班
靜宜大學財務與計算數學系計算數學組
國立臺中教育大學數學教育學系",1,1
國立中央大學附屬中壢高中,"逢甲大學應用數學系
東海大學食品科學系
淡江大學數學學系數學組",0,0
國立中央大學附屬中壢高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學材料科學與工程學系
銘傳大學資訊工程學系(桃園校區)",1,0
國立基隆女中,"逢甲大學應用數學系
中原大學應用數學系
國立宜蘭大學應用經濟與管理學系",0,0
高雄市立中正高中,逢甲大學應用數學系,1,1
國立虎尾高中,"逢甲大學應用數學系
義守大學化學工程學系",1,1
國立澎湖科技大學,"逢甲大學應用數學系
國立臺灣師範大學生命科學系
國立澎湖科技大學電信工程系
國立澎湖科技大學資訊工程系
國立勤益科技大學冷凍空調與能源系",1,1
國立斗六高中,"逢甲大學應用數學系
淡江大學資訊與圖書館學系
靜宜大學應用化學系
銘傳大學醫療資訊與管理學系健康產業管理組(桃園校區)",0,0
國立中興大學附中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系(生化工程組)
東海大學統計學系(決策管理組)
逢甲大學機械與電腦輔助工程學系
靜宜大學資料科學暨大數據分析與應用學系-類繁星
國立勤益科技大學冷凍空調與能源系",0,0
私立復旦高中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
靜宜大學財務與計算數學系計算數學組
銘傳大學資訊工程學系(桃園校區)",0,0
國立屏東女中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學通訊工程學系
靜宜大學資訊工程學系
義守大學資訊工程學系
朝陽科技大學保險金融管理系",1,1
新北市立新莊國中,"中原大學應用數學系
中國文化大學應用數學系",1,1
國立臺中一中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學精密系統設計學士學位學程
弘光科技大學資訊管理系
中臺科技大學護理系
中臺科技大學視光系",1,0
國立嘉義女中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
東海大學應用物理學系光電組
國立金門大學土木與工程管理學系
嘉南藥理大學保健營養系",0,0
國立清水高中,"逢甲大學應用數學系
東海大學應用數學系
國立嘉義大學應用數學系",0,0
國立臺南一中,逢甲大學應用數學系,1,1
高雄市立中山高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學資訊工程學系
義守大學資訊工程學系",1,0
高雄市立中山高中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
東海大學統計學系(大數據與決策管理組)
淡江大學數學學系資料科學與數理統計組
國立東華大學應用數學系統計科學組",0,0
臺中市立文華高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學航太與系統工程學系
逢甲大學財務工程與精算學士學位學程
國立臺中教育大學數學教育學系",1,0
國立虎尾高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
東海大學統計學系(社會組)",0,0
私立新民高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
逢甲大學財務金融學系",1,1
私立明德高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學物理學系物理組
淡江大學物理學系應用物理組",1,1
高雄市立中山高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學統計學系
國立屏東大學應用數學系",0,0
桃園市立平鎮高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
銘傳大學資訊工程學系(桃園校區)",0,0
國立新竹女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學光電學系
逢甲大學通訊工程學系",1,1
國立中興大學附中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學水利工程與資源保育學系",0,0
新竹市立建功高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學統計學系
靜宜大學統計資訊學系",1,1
國立中興大學附中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
長庚科技大學護理系(林口校區)",1,1
國立鳳新高中,"逢甲大學應用數學系
東吳大學數學系
東吳大學財務工程與精算數學系
淡江大學會計學系
逢甲大學財稅學系
銘傳大學會計學系稅務規劃組(臺北校區)",1,0
私立長榮高中,"逢甲大學應用數學系
國立臺東大學應用數學系
義守大學財務與計算數學系",1,1
國立竹北高中,"逢甲大學應用數學系
東海大學應用物理學系
中國文化大學光電物理學系
中國文化大學資訊工程學系
輔仁大學物理學系物理組",0,0
私立育達高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
淡江大學數學學系資料科學與數理統計組
逢甲大學統計學系
輔仁大學數學系應用數學組
龍華科技大學國際企業系
明志科技大學環境與安全衛生工程系",0,0
國立臺中二中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
開南大學應用日語學系
亞洲大學健康產業管理學系健康產業管理組
亞洲大學視光學系
中臺科技大學視光系
中臺科技大學醫療暨健康產業管理系
中臺科技大學醫學影像暨放射科學系",0,0
國立陽明高中,"逢甲大學應用數學系
中國文化大學應用數學系
銘傳大學會計學系(臺北校區)
實踐大學會計學系(臺北校區)",1,1
國立武陵高中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
逢甲大學水利工程與資源保育學系
中國文化大學光電物理學系
中國文化大學機械工程學系",1,1
國立斗六高中,"逢甲大學應用數學系
靜宜大學財務金融學系
台南應用科技大學旅館管理系",0,0
私立弘文高中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系",1,1
國立臺南一中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系
靜宜大學統計資訊學系(工業工程統計組)
正修科技大學企業管理系經營管理組
樹德科技大學電腦與通訊系
南臺科技大學化學工程與材料工程系
朝陽科技大學資訊與通訊系",1,1
國立中興大學附屬高中,"逢甲大學應用數學系
東海大學應用物理學系材料及奈米科技組
東海大學應用物理學系光電組
逢甲大學光電學系
逢甲大學自動控制工程學系
逢甲大學水利工程與資源保育學系",1,0
國立台中一中,"逢甲大學應用數學系
東海大學統計學系(自然組)
逢甲大學統計學系
靜宜大學財務與計算數學系計算數學組-類繁星",1,1
私立道明高中,"逢甲大學應用數學系
銘傳大學商品設計學系(桃園校區)",1,1
國立嘉義高中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學統計學系
亞洲大學會計與資訊學系管理應用組
朝陽科技大學資訊工程系
南臺科技大學生物科技系
明志科技大學工業工程與管理系",1,0
國立彰化師大附屬高工,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
中國文化大學應用數學系
中國文化大學心理輔導學系",0,0
國立臺南二中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
靜宜大學資料科學暨大數據分析與應用學系-一般組
靜宜大學會計學系-一般組
朝陽科技大學財務金融系
嶺東科技大學國際企業系
嶺東科技大學財務金融系",1,1
國立嘉義女中,"逢甲大學應用數學系
東海大學應用數學系
國立虎尾科技大學材料科學與工程系",1,1
逢甲大學,"逢甲大學應用數學系
國立屏東教育大學應用數學系
義守大學醫學影像暨放射科學系
國立澎湖科技大學食品科學系
嘉南藥理科技大學醫藥化學系
弘光科技大學護理系
明志科技大學材料工程系
中臺科技大學護理系",0,0
國立屏東大學民生校區,"逢甲大學應用數學系
國立屏東大學電腦與智慧型機器人學士學位學程
國立臺東大學資訊工程學系
亞洲大學資訊工程學系數位內容與遊戲設計組",0,0
國立高雄師大附中,"逢甲大學應用數學系
國立聯合大學化學工程學系
國立高雄科技大學輪機工程系(旗津校區)",1,1
新北市立新北高中,"逢甲大學應用數學系
東海大學應用數學系
國立東華大學應用數學系數學科學組
國立屏東大學應用數學系",0,0
國立新竹高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
國立嘉義大學體育與健康休閒學系",1,1
國立臺中文華高中,"逢甲大學應用數學系
逢甲大學電機工程學系
逢甲大學資訊電機學院不分系榮譽班
逢甲大學通訊工程學系
元智大學通訊工程學系",1,0
新北市立新北高中,"逢甲大學應用數學系
國立臺東大學應用數學系
銘傳大學風險管理與保險學系(台北校區)
銘傳大學經濟學系(桃園校區)",0,0
國立臺南女中,"逢甲大學應用數學系
中原大學應用數學系
國立臺東大學數學系",0,0
國立臺東高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學生態人文學系
逢甲大學水利工程與資源保育學系
靜宜大學資訊工程學系",1,0
國立嘉義女中,"逢甲大學應用數學系
東海大學應用數學系
靜宜大學會計學系
靜宜大學財務金融學系
銘傳大學會計學系(台北校區)",1,1
高雄市立左營高中,逢甲大學應用數學系,1,1
國立中壢高商,"逢甲大學應用數學系
輔仁大學物理學系物理組",0,0
國立中興大學附中,"逢甲大學應用數學系
東海大學應用數學系",1,1
國立文華高中,"逢甲大學應用數學系
逢甲大學資訊工程學系",1,0
私立長榮高中,"逢甲大學應用數學系
東海大學應用數學系
南臺科技大學電機工程系控制與晶片組",1,1
國立中興高中,"逢甲大學應用數學系
中國文化大學機械工程學系
中華大學土木工程學系
義守大學電子工程學系",1,1
逢甲大學,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學財務與計算數學系財務工程組
朝陽科技大學保險金融管理系
德明財經科技大學財務金融系
僑光科技大學行銷與流通管理系",1,1
私立光隆家商,"逢甲大學應用數學系
實踐大學風險管理與保險學系(臺北校區)",1,1
靜宜大學,"逢甲大學應用數學系
靜宜大學財務金融學系-一般組
國立屏東大學商業自動化與管理學系",1,1
臺中市立惠文高中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學工業工程與系統管理學系
中國文化大學應用數學系
靜宜大學資訊傳播工程學系-類繁星",1,0
高雄市立左營高中,"逢甲大學應用數學系
逢甲大學化學工程學系
逢甲大學經濟學系
國立屏東教育大學應用化學系
國立屏東教育大學應用數學系",0,0
私立道明高中,"逢甲大學應用數學系
國立勤益科技大學冷凍空調與能源系
美和科技大學護理系",1,1
國立虎尾高中,逢甲大學應用數學系,1,1
國立新竹女中,"逢甲大學應用數學系
逢甲大學統計學系
靜宜大學統計資訊學系-類繁星
銘傳大學應用統計資訊學系(桃園校區)",1,0
國立文華高中,"逢甲大學應用數學系
中原大學企業管理學系
逢甲大學企業管理學系
靜宜大學企業管理學系",1,0
國立屏東女中,"逢甲大學應用數學系
中國文化大學大氣科學系
中國文化大學地質學系",1,1
靜宜大學,"逢甲大學應用數學系
東海大學應用物理學系光電組
逢甲大學光電學系
逢甲大學通訊工程學系
逢甲大學水利工程與資源保育學系
亞洲大學光電與通訊學系通訊網路組",1,0
新竹市立建功高中,"逢甲大學應用數學系
淡江大學數學學系數學組
中華大學資訊工程學系資訊工程組",1,1
臺中市立文華高中,"逢甲大學應用數學系
中原大學應用數學系",0,0
國立中興大學附中,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
逢甲大學環境工程與科學學系
亞洲大學行動商務與多媒體應用學系多媒體應用組
國立勤益科技大學資訊工程系",1,0
國立台中女中,"逢甲大學應用數學系
逢甲大學自動控制工程學系
靜宜大學資訊管理學系
靜宜大學資訊工程學系",1,1
國立員林高中,"逢甲大學應用數學系
靜宜大學資訊工程學系
世新大學資訊管理學系資訊科技組
亞洲大學資訊工程學系資電應用組",1,1
國立彰化師範大學,"逢甲大學應用數學系
逢甲大學通訊工程學系
義守大學資訊工程學系
嘉南藥理大學化粧品應用與管理系
中臺科技大學食品科技系
臺北城市科技大學化妝品應用與管理系",1,1
國立陽明高中,"逢甲大學應用數學系
中原大學物理學系物理組
逢甲大學機械與電腦輔助工程學系
中國文化大學機械工程學系
明新科技大學機械工程系",1,0
國立虎尾高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
中國文化大學應用數學系
中國文化大學動物科學系
朝陽科技大學應用化學系",1,1
國立斗六高中,"逢甲大學應用數學系
中原大學應用數學系",0,0
新北市立錦和高中,"逢甲大學應用數學系
國立臺東大學數學系",1,1
私立明德中學,"逢甲大學應用數學系
逢甲大學資訊工程學系
逢甲大學資訊電機學院不分系榮譽班",1,0
臺中市立臺中一中,"逢甲大學應用數學系
東海大學統計學系(巨量資料管理組)
逢甲大學工業工程與系統管理學系
逢甲大學自動控制工程學系
逢甲大學土木工程學系",1,0
新北市立永平高中,逢甲大學應用數學系,1,1
國立屏東女中,"逢甲大學應用數學系
東海大學統計學系(社會組)
逢甲大學統計學系
逢甲大學財務工程與精算學士學位學程
嘉南藥理大學食品科技系",1,0
私立明德高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組
中國文化大學應用數學系
國立臺東大學應用數學系",1,1
新北市立三民高中,"逢甲大學應用數學系
東吳大學數學系
國立東華大學應用數學系數學科學組
實踐大學資訊科技與管理學系(臺北校區)",0,0
臺中市立臺中二中,"逢甲大學應用數學系
東吳大學數學系
淡江大學土木工程學系
逢甲大學土木工程學系",1,0
私立弘文高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組-類繁星
長榮大學企業管理學系
朝陽科技大學財務金融系
中國科技大學企業管理系(新竹校區)",1,1
國立陽明高中,"逢甲大學應用數學系
國立宜蘭大學電子工程學系
國立聯合大學能源工程學系
國立金門大學建築學系
國立勤益科技大學資訊工程系",0,0
高雄市立左營高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學統計學系商業大數據組
逢甲大學統計學系大數據分析與市場決策組
銘傳大學應用統計與資料科學學系大數據管理組(桃園校區)",1,1
國立中興高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
輔仁大學數學系應用數學組",1,1
國立雲林科技大學,"逢甲大學應用數學系
逢甲大學光電學系
逢甲大學通訊工程學系",1,0
國立陽明高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
輔仁大學數學系應用數學組
國立東華大學應用數學系統計科學組",1,1
私立明德中學,"逢甲大學應用數學系
靜宜大學會計學系",1,1
國立彰化師範大學,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
靜宜大學財務工程學系
國立臺東大學應用數學系",0,0
國立苗栗高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
臺北市立大學數學系",1,1
新北市立新莊國中,"逢甲大學應用數學系
逢甲大學光電學系
中國文化大學光電物理學系
中國文化大學機械工程學系",1,1
國立竹北高中,"逢甲大學應用數學系
中原大學工業與系統工程學系管理組
中國文化大學經濟學系
靜宜大學觀光事業學系
國立聯合大學電子工程學系
朝陽科技大學工業工程與管理系
明新科技大學老人服務事業管理系",1,1
私立明德高中,"逢甲大學應用數學系
東海大學化學系化學生物組
逢甲大學光電學系
靜宜大學財務與計算數學系計算數學組
國立金門大學電子工程學系",1,0
高雄市立中山高中,"逢甲大學應用數學系
逢甲大學光電學系
元智大學工業工程與管理學系
中華大學工業管理學系",1,1
高雄市立中山高中,逢甲大學應用數學系,1,1
臺中市立惠文高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學航太與系統工程學系",1,0
國立苗栗高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學資訊工程學系",0,0
國立台南二中,逢甲大學應用數學系,0,0
國立中興高中,"逢甲大學應用數學系
中原大學工業與系統工程學系工程組
逢甲大學環境工程與科學學系
國立聯合大學電子工程學系
國立勤益科技大學冷凍空調與能源系
國立勤益科技大學工業工程與管理系",1,1
靜宜大學,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學財務與計算數學系財務工程組
國立東華大學應用數學系統計組",0,0
國立中興高中,"逢甲大學應用數學系
逢甲大學統計學系
朝陽科技大學資訊與通訊系",1,0
國立宜蘭大學,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組",0,0
臺北市立建國高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
輔仁大學數學系應用數學組",0,0
私立明德女中,"逢甲大學應用數學系
逢甲大學電子工程學系
逢甲大學資訊電機學院不分系榮譽班
國立台中教育大學數學教育學系",1,1
國立彰化師大附工,"逢甲大學應用數學系
逢甲大學會計學系",1,0
國立北科大附屬桃園農工,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
輔仁大學數學系應用數學組",1,1
國立臺灣海洋大學,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組
大葉大學財務金融學系
亞洲大學財務金融學系金融管理組",0,0
臺北市立大同高中,"逢甲大學應用數學系
淡江大學水資源及環境工程學系環境工程組",1,1
私立育達高中,"逢甲大學應用數學系
逢甲大學統計學系商業大數據組",1,0
臺北市立建國高中,"逢甲大學應用數學系
淡江大學水資源及環境工程學系環境工程組",1,1
新北市立新莊國中,"逢甲大學應用數學系
靜宜大學財務金融學系
亞洲大學財務金融學系投資理財組",1,1
高雄市立中山高中,"逢甲大學應用數學系
義守大學資訊工程學系",1,1
高雄市立高雄女中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學財務與計算數學系計算數學組
長庚科技大學護理系(林口校區)",0,0
私立弘文高中,"逢甲大學應用數學系
逢甲大學資訊電機學院不分系榮譽班",0,0
國立中興大學附中,"逢甲大學應用數學系
東海大學應用數學系
東海大學資訊工程學系數位創意組
逢甲大學資訊工程學系",1,1
私立海星高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
輔仁大學數學系純數學組
中華大學資訊工程學系資訊工程組
義守大學資訊工程學系",0,0
臺北市立大安高工,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組
淡江大學數學學系資料科學與數理統計組",0,0
國立員林崇實高工,"逢甲大學應用數學系
東海大學哲學系",1,1
國立員林高中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學財務工程與精算學士學位學程
靜宜大學統計資訊學系",1,1
國立中央大學附屬中壢高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學工業與系統工程學系工程組
東海大學應用數學系
淡江大學數學學系數學組",0,0
國立臺灣師大附中,逢甲大學應用數學系,1,1
高雄市立高雄高中,"逢甲大學應用數學系
逢甲大學機械與電腦輔助工程學系
逢甲大學自動控制工程學系
逢甲大學通訊工程學系",1,1
私立長榮高中,"逢甲大學應用數學系
逢甲大學光電學系
逢甲大學土木工程學系
國立臺南大學應用數學系
國立屏東大學應用數學系
國立嘉義大學應用數學系",0,0
私立弘文高中,"逢甲大學應用數學系
東吳大學巨量資料管理學院學士學位學程
東海大學社會工作學系
中山醫學大學視光學系",0,0
國立苗栗高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學工業與系統工程學系工程組
淡江大學數學學系數學組
淡江大學數學學系資料科學與數理統計組",0,0
國立臺灣海洋大學,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
銘傳大學應用統計與資料科學學系(桃園校區)",0,0
新北市立三民高中,"逢甲大學應用數學系
東海大學哲學系
銘傳大學應用中國文學系(桃園校區)
銘傳大學資訊傳播工程學系(桃園校區)",1,1
國立基隆女中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組",0,0
國立新竹女中,"逢甲大學應用數學系
中原大學應用數學系
中原大學電機資訊學院學士班
逢甲大學資訊電機學院不分系榮譽班",0,0
臺北市立松山高中,"逢甲大學應用數學系
大同大學資訊工程學系
遠東科技大學資訊工程系
中臺科技大學應用外語系
大仁科技大學應用外語系
國立勤益科技大學資訊工程系",0,0
國立員林崇實高工,"逢甲大學應用數學系
逢甲大學財稅學系
逢甲大學統計學系
逢甲大學經濟學系
靜宜大學財務與計算數學系財務工程組
亞洲大學會計與資訊學系財稅應用組
國立虎尾科技大學自動化工程系",1,0
私立弘文高中,"逢甲大學應用數學系
靜宜大學資料科學暨大數據分析與應用學系-一般組
靜宜大學資訊管理學系-一般組",1,1
高雄市立左營高中,"逢甲大學應用數學系
東海大學應用數學系
靜宜大學財務與計算數學系財務工程組
義守大學應用數學系財務分析組",1,1
國立臺東高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
中國文化大學應用數學系
中國文化大學資訊工程學系
真理大學資訊工程學系(臺北校區)",0,0
國立家齊高中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
淡江大學統計學系
逢甲大學統計學系",0,0
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系
大同大學電機工程學系電子與通訊組
元智大學機械工程學系
國立聯合大學電機工程學系
國立勤益科技大學冷凍空調與能源系
國立勤益科技大學資訊工程系",0,0
國立新營高中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
輔仁大學物理學系物理組
明志科技大學化學工程系",1,1
臺中市立清水高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學機械與機電工程學系精密機械組
中國文化大學機械工程學系",0,0
國立文華高中,"逢甲大學應用數學系
靜宜大學會計學系-類繁星",1,1
臺北市立松山高中,"逢甲大學應用數學系
銘傳大學應用統計資訊學系(桃園校區)
銘傳大學資訊傳播工程學系(桃園校區)
實踐大學資訊科技與管理學系(臺北校區)",0,0
國立嘉義高中,"逢甲大學應用數學系
靜宜大學會計學系
國立臺東大學資訊工程學系
國立聯合大學能源工程學系",0,0
國立臺中文華高中,"逢甲大學應用數學系
義守大學電機工程學系
國立勤益科技大學冷凍空調與能源系
修平科技大學電機工程系",1,1
國立新竹高中,"逢甲大學應用數學系
逢甲大學精密系統設計學士學位學程
中國文化大學光電物理學系
崑山科技大學機械工程系",1,0
國立新竹高中,"逢甲大學應用數學系
淡江大學數學學系數學組
中國文化大學應用數學系
亞洲大學創意商品設計學系
聖約翰科技大學時尚經營管理系
聖約翰科技大學創意設計系
中華科技大學建築系(台北校區)
中華科技大學建築系室內設計組(台北校區)",0,0
高雄市立中正高中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學財務金融學系
國立屏東教育大學應用數學系
國立屏東科技大學車輛工程系
國立高雄海洋科技大學輪機工程系",0,0
私立建臺高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系",0,0
私立弘文高中,"逢甲大學應用數學系
東海大學應用數學系",1,1
國立臺南一中,"逢甲大學應用數學系
東海大學應用數學系
南臺科技大學電機工程系控制與晶片組",0,0
國立文華高中,"逢甲大學應用數學系
逢甲大學財稅學系
逢甲大學企業管理學系
逢甲大學財務金融學系
嶺東科技大學國際企業系
嶺東科技大學財務金融系",1,0
國立嘉義高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(巨量資料管理組)
靜宜大學資料科學暨大數據分析與應用學系-一般組
國立屏東大學應用數學系
義守大學電子工程學系",0,0
國立文華高中,逢甲大學應用數學系,1,1
國立臺灣師範大學,"逢甲大學應用數學系
逢甲大學自動控制工程學系
逢甲大學資訊電機學院不分系榮譽班",1,1
國立新營高中,逢甲大學應用數學系,1,1
國立清水高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
靜宜大學食品營養學系食品與生物技術組",0,0
國立竹北高中,"逢甲大學應用數學系
東海大學應用物理學系光電組
實踐大學資訊科技與通訊學系(高雄校區)",0,0
國立中興高中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學土木工程學系
逢甲大學水利工程與資源保育學系
朝陽科技大學資訊與通訊系
嘉南藥理大學保健營養系
弘光科技大學環境與安全衛生工程系環境工程組
中臺科技大學環境與安全衛生工程系",1,0
私立明德女中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系
靜宜大學統計資訊學系
亞洲大學生物與醫學資訊學系醫學資訊組",1,0
私立弘文高中,"逢甲大學應用數學系
國立東華大學應用數學系統計科學組
國立屏東大學應用數學系
國立新竹教育大學不分系招生(理工勵進組)
國立臺東大學應用數學系
國立聯合大學光電工程學系
國立勤益科技大學資訊工程系
國立勤益科技大學冷凍空調與能源系
國立澎湖科技大學電信工程系",1,1
國立高雄師大附中,"逢甲大學應用數學系
東海大學統計學系(自然組)
東海大學統計學系(社會組)",1,1
私立明德女中,"逢甲大學應用數學系
亞洲大學財務金融學系投資管理組",0,0
高雄市立高雄女中,"逢甲大學應用數學系
東吳大學數學系",1,1
私立育達高中,"逢甲大學應用數學系
中原大學土木工程學系
逢甲大學機械與電腦輔助工程學系
逢甲大學統計學系大數據分析與市場決策組",0,0
臺中市立惠文高中,"逢甲大學應用數學系
靜宜大學資訊工程學系
靜宜大學資訊工程學系-類繁星",1,1
私立海星高中,"逢甲大學應用數學系
東吳大學數學系",0,0
私立道明高中,"逢甲大學應用數學系
東海大學統計學系(巨量資料管理組)
淡江大學數學學系資料科學與數理統計組",0,0
國立中興高中,"逢甲大學應用數學系
逢甲大學自動控制工程學系",1,0
國立員林高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組",1,1
臺北市立百齡高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
國立東華大學應用數學系統計科學組
國立臺東大學應用數學系",0,0
國立中興高中,"逢甲大學應用數學系
中國文化大學資訊工程學系",1,1
國立虎尾高中,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學資訊管理學系
南華大學資訊工程學系自然組
真理大學資訊工程學系一般組(臺北校區)",1,1
新竹市立建功高中,"逢甲大學應用數學系
東海大學統計學系(巨量資料管理組)",1,1
臺中市立臺中女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學統計學系商業大數據組
逢甲大學企業管理學系",0,0
臺中市立文華高中,"逢甲大學應用數學系
東海大學應用數學系",0,0
