考區,申請系所,FCU,FCU_AM
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學生物醫學工程學系
東海大學應用數學系
靜宜大學食品營養學系食品與生物技術組",0,0
國立臺南二中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
逢甲大學財務工程與精算學士學位學程",0,0
國立臺中女中,"逢甲大學應用數學系
東海大學工業工程與經營資訊學系
東海大學環境科學與工程學系
東海大學統計學系(自然組)
國立屏東大學電腦與通訊學系",1,1
臺中市立文華高中,"逢甲大學應用數學系
逢甲大學資訊電機學院學士班",1,0
國立嘉義高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
淡江大學數學學系資料科學與數理統計組
國立屏東大學應用數學系
國立高雄科技大學航運技術系(旗津校區)
元培醫事科技大學護理系
中華醫事科技大學護理系
長庚科技大學護理系(嘉義校區)
台北海洋科技大學航海系(士林校區)",0,0
臺北市立成功高中,"逢甲大學應用數學系
中國文化大學應用數學系
中國文化大學大氣科學系
中國文化大學市政暨環境規劃學系
銘傳大學都市規劃與防災學系(桃園校區)
長榮大學醫務管理學系",1,1
新北市立新北高工,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學材料科學與工程學系",0,0
國立中興高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
國立東華大學應用數學系統計科學組
國立高雄海洋科技大學漁業生產與管理系
國立勤益科技大學資訊工程系",0,0
國立澎湖科技大學,"逢甲大學應用數學系
國立臺灣大學機械工程學系
逢甲大學土木工程學系
元智大學機械工程學系
國立嘉義大學土木與水資源工程學系",0,0
國立新竹高中,"逢甲大學應用數學系
東海大學應用物理學系
靜宜大學財務與計算數學系計算數學組
南臺科技大學生物科技系
長庚科技大學護理系(林口校區)",0,0
國立臺灣師大附中,"逢甲大學應用數學系
淡江大學資訊創新與科技學系軟體工程全英語組(蘭陽校園)
國立東華大學資訊工程學系學士班國際組
銘傳大學資訊工程學系(桃園校區)
國立勤益科技大學資訊工程系
國立雲林科技大學工業工程與管理系",0,0
國立臺南一中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學統計學系
逢甲大學環境工程與科學學系
元智大學工業工程與管理學系",1,0
國立臺南女中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學統計學系
大葉大學資訊工程學系
南臺科技大學工業管理與資訊系工業管理組
崑山科技大學機械工程系
長庚科技大學護理系(嘉義校區)",1,0
國立宜蘭大學,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組",0,0
臺北市立百齡高中,"逢甲大學應用數學系
淡江大學數學學系數學組
靜宜大學統計資訊學系",0,0
國立雲林科技大學,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學應用數學系
輔仁大學數學系純數學組",1,1
新北市立錦和高中,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學應用數學系
輔仁大學數學系資訊數學組
國立東華大學應用數學系數學科學組",0,0
國立桃園農工,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
國立臺中教育大學數學教育學系
國立東華大學應用數學系數學科學組
國立勤益科技大學資訊工程系
國立勤益科技大學化工與材料工程系
國立高雄第一科技大學電子工程系",0,0
新北市立永平高中,逢甲大學應用數學系,1,1
國立臺南女中,"逢甲大學應用數學系
義守大學電機工程學系",1,1
私立四維高中,"逢甲大學應用數學系
銘傳大學應用統計資訊學系(桃園校區)
世新大學經濟學系
景文科技大學理財與稅務規劃系
德明財經科技大學財務金融系",1,1
國立臺灣海洋大學,逢甲大學應用數學系,1,1
私立弘文高中,"逢甲大學光電學系
靜宜大學財務與計算數學系財務工程組
靜宜大學應用化學系
靜宜大學資訊工程學系
國立勤益科技大學資訊工程系
朝陽科技大學資訊工程系
建國科技大學土木工程系",1,1
國立中興大學附屬高中,"逢甲大學應用數學系
淡江大學管理科學學系
靜宜大學企業管理學系
世新大學行政管理學系",1,1
國立彰化師範大學,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
健行科技大學企業管理系",1,1
高雄市立高雄高中,"逢甲大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
靜宜大學資訊傳播工程學系(互動藝術組)
國立屏東大學電腦與通訊學系
國立臺東大學資訊管理學系
國立臺東大學資訊工程學系
樹德科技大學電腦與通訊系",0,0
國立中興高中,"逢甲大學應用數學系
朝陽科技大學環境工程與管理系",1,1
私立明德高中,"逢甲大學應用數學系
淡江大學數學學系數學組",1,1
國立彰化師範大學,"逢甲大學應用數學系
國立聯合大學化學工程學系",1,1
私立復旦高中,"逢甲大學應用數學系
中國文化大學應用數學系",1,1
國立嘉義高中,"逢甲大學應用數學系
靜宜大學資訊工程學系
國立臺東大學應用數學系
義守大學電機工程學系
元培醫事科技大學醫學影像暨放射技術系",0,0
高雄市立中山高中,"逢甲大學應用數學系
靜宜大學社會工作與兒童少年福利學系
義守大學應用英語學系
長榮大學社會工作學系",0,0
私立弘文高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(大數據與決策管理組)
逢甲大學統計學系
靜宜大學統計資訊學系
靜宜大學統計資訊學系-類繁星",0,0
國立嘉義高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學財務與計算數學系財務工程組",0,0
私立弘文高中,"逢甲大學應用數學系
中原大學物理學系物理組",1,1
國立北科大附屬桃園農工,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
輔仁大學數學系資訊數學組",0,0
臺北市立大同高中,"逢甲大學應用數學系
中國文化大學電機工程學系
中國文化大學機械工程學系
大同大學電機工程學系電子與通訊組
銘傳大學資訊工程學系(桃園校區)
銘傳大學電腦與通訊工程學系(桃園校區)",1,1
私立道明高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學物理學系物理組",0,0
國立花蓮高中,"逢甲大學應用數學系
靜宜大學會計學系
銘傳大學會計學系會計審計組(臺北校區)
銘傳大學經濟與金融學系金融理財組(桃園校區)
慈濟科技大學行銷與流通管理系",1,1
國立竹北高中,"逢甲大學應用數學系
淡江大學水資源及環境工程學系水資源工程組
逢甲大學資訊工程學系
逢甲大學水利工程與資源保育學系
元智大學化學工程與材料科學學系",0,0
私立四維高中,"逢甲大學應用數學系
逢甲大學電子工程學系
逢甲大學資訊電機學院不分系榮譽班
逢甲大學通訊工程學系",1,1
私立弘文高中,"僑光科技大學多媒體與遊戲設計系
嶺東科技大學財務金融系
朝陽科技大學應用化學系生化科技組",1,1
國立武陵高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學化學工程與材料工程學系
國立聯合大學環境與安全衛生工程學系",0,0
台北市立松山高中,"逢甲大學應用數學系
東海大學經濟學系產業經濟組",1,1
國立彰化師大附屬高工,"逢甲大學應用數學系
逢甲大學統計學系",1,1
私立復旦高中,逢甲大學應用數學系,1,1
國立臺中文華高中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學資訊電機學院不分系榮譽班
逢甲大學土木工程學系",1,0
國立高雄師大附中,"逢甲大學應用數學系
逢甲大學合作經濟學系
逢甲大學經濟學系",1,0
國立台灣師範大學,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組",0,0
國立彰化師範大學,"逢甲大學應用數學系
東吳大學資訊管理學系
國立暨南國際大學資訊管理學系
國立嘉義大學應用經濟學系",0,0
逢甲大學,"逢甲大學應用數學系
逢甲大學會計學系
逢甲大學國際貿易學系
逢甲大學財務金融學系
國立彰化師範大學會計學系",0,0
國立虎尾高中,"逢甲大學應用數學系
東海大學應用數學系
靜宜大學資訊傳播工程學系
靜宜大學資訊傳播工程學系-類繁星",1,1
國立新竹女中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
輔仁大學數學系應用數學組
國立臺中教育大學數學教育學系",0,0
靜宜大學,"逢甲大學應用數學系
逢甲大學精密系統設計學士學位學程
逢甲大學光電學系
靜宜大學應用化學系(應用化學組)",1,0
臺中市立惠文高中,"逢甲大學應用數學系
靜宜大學財務工程學系-一般組
靜宜大學資料科學暨大數據分析與應用學系-一般組
靜宜大學資訊工程學系-一般組",1,1
國立新竹女中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學資訊工程學系
亞洲大學視光學系",1,1
國立中興高中,"逢甲大學應用數學系
中原大學應用數學系",1,1
國立澎湖科技大學,"逢甲大學應用數學系
靜宜大學統計資訊學系
銘傳大學應用統計資訊學系(桃園校區)
龍華科技大學財務金融系
景文科技大學財務金融系
德明財經科技大學會計資訊系
中華科技大學財務金融系財富管理組(台北校區)",0,0
私立明德女中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
國立高雄師範大學數學系數學組",0,0
高雄市立中山高中,"逢甲大學應用數學系
逢甲大學統計學系
國立屏東大學應用數學系
國立勤益科技大學資訊工程系",0,0
國立屏東大學民生校區,"逢甲大學應用數學系
國立金門大學工業工程與管理學系",0,0
國立金門大學,"逢甲大學應用數學系
東海大學工業工程與經營資訊學系
銘傳大學經濟與金融學系(桃園校區)
銘傳大學資訊傳播工程學系(桃園校區)",0,0
國立新竹女中,"逢甲大學應用數學系
東海大學統計學系(社會組)
淡江大學統計學系
靜宜大學財務與計算數學系財務工程組
靜宜大學會計學系",0,0
國立桃園農工,"逢甲大學應用數學系
靜宜大學財務金融學系
實踐大學金融管理學系(高雄校區)
龍華科技大學資訊管理系",1,1
私立弘文高中,"逢甲大學應用數學系
東海大學統計學系(社會組)
靜宜大學統計資訊學系(巨量資料暨商業智慧組)
靜宜大學財務金融學系
亞洲大學財務金融學系投資管理組
朝陽科技大學資訊管理系資訊管理組",0,0
私立明德高中,"逢甲大學應用數學系
亞洲大學會計與資訊學系財稅應用組
亞洲大學會計與資訊學系管理應用組
國立聯合大學電機工程學系",1,1
國立家齊高中,"逢甲大學應用數學系
中原大學資訊管理學系
逢甲大學自動控制工程學系
逢甲大學通訊工程學系",1,0
高雄市立中正高中,"逢甲大學應用數學系
國立臺東大學應用數學系
義守大學財務金融學系金融管理組",1,1
國立武陵高中,逢甲大學應用數學系,1,1
國立新竹女中,"逢甲大學應用數學系
國立屏東教育大學應用數學系",1,1
國立臺中女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學電機工程學系",1,0
臺中市立惠文高中,"逢甲大學應用數學系
靜宜大學財務金融學系-繁星類
靜宜大學資訊工程學系(智慧電子與數位系統設計組)-繁星類
義守大學資訊工程學系
亞洲大學資訊工程學系資電應用組
亞洲大學會計與資訊學系財稅應用組",1,1
國立中興高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學工業與系統工程學系工程組",1,1
國立新竹高中,"逢甲大學應用數學系
中原大學工業與系統工程學系工程組
東海大學環境科學與工程學系
淡江大學航空太空工程學系
國立臺灣海洋大學輪機工程學系能源應用組",0,0
逢甲大學,"逢甲大學應用數學系
東海大學經濟學系一般經濟組",0,0
國立鳳新高中,"逢甲大學應用數學系
東海大學應用數學系
國立嘉義大學應用數學系
國立屏東科技大學農企業管理系",0,0
國立中興大學附中,"逢甲大學應用數學系
中原大學工業與系統工程學系工程組",1,1
國立臺中文華高中,"逢甲大學應用數學系
逢甲大學統計學系",1,1
私立明德高中,"逢甲大學應用數學系
東海大學應用數學系
國立屏東大學應用數學系",0,0
國立嘉義高中,"逢甲大學應用數學系
靜宜大學會計學系
義守大學會計學系管理應用組",1,1
逢甲大學,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學資訊工程學系
逢甲大學資訊電機學院不分系榮譽班
國立臺中教育大學數學教育學系",1,0
私立弘文高中,"逢甲大學應用數學系
中原大學應用數學系
國立東華大學應用數學系數學科學組",0,0
國立臺中女中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(自然組)
東海大學統計學系(社會組)
逢甲大學統計學系",0,0
國立臺南二中,"逢甲大學應用數學系
亞洲大學視光學系
亞洲大學光電與通訊學系光電綠能組
南臺科技大學多媒體與電腦娛樂科學系
文藻外語大學數位內容應用與管理系",1,1
國立鳳新高中,"逢甲大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組
淡江大學數學學系資料科學與數理統計組
淡江大學機械與機電工程學系光機電整合組
逢甲大學機械與電腦輔助工程學系",1,0
國立陽明高中,"逢甲大學應用數學系
東海大學應用物理學系
東海大學應用數學系
東海大學統計學系(大數據與資料科學組)
國立東華大學應用數學系數學科學組
國立東華大學物理學系物理組",0,0
國立臺中女中,逢甲大學應用數學系,1,1
國立基隆女中,"逢甲大學應用數學系
中原大學應用數學系
國立臺東大學應用數學系",0,0
高雄市立高雄女中,"逢甲大學應用數學系
逢甲大學統計學系
義守大學電機工程學系
義守大學電子工程學系
長榮大學資訊工程學系
樹德科技大學資訊管理系數位行銷組
樹德科技大學企業管理系
正修科技大學電子工程系綠能科技應用組
正修科技大學工業工程與管理系經營管理組",1,1
高雄市立中正高中,"逢甲大學應用數學系
逢甲大學財務金融學系
靜宜大學日本語文學系-類繁星
義守大學應用日語學系",0,0
國立鳳新高中,"逢甲大學應用數學系
東海大學應用數學系",0,0
臺中市立臺中一中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學機械與電腦輔助工程學系",1,0
國立台中二中,"逢甲大學應用數學系
朝陽科技大學財務金融系",1,1
國立苗栗高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
國立屏東大學應用數學系",0,0
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系",1,1
臺中市立清水高中,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
逢甲大學環境工程與科學學系
靜宜大學財務與計算數學系計算數學組
靜宜大學財務與計算數學系財務工程組
靜宜大學統計資訊學系
國立勤益科技大學資訊工程系
弘光科技大學餐旅管理系",0,0
國立中央大學附屬中壢高中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
靜宜大學財務與計算數學系計算數學組
國立東華大學應用數學系數學科學組",0,0
私立四維高中,"逢甲大學應用數學系
國立東華大學課程設計與潛能開發學系",0,0
臺北市立百齡高中,"逢甲大學應用數學系
東海大學環境科學與工程學系
大仁科技大學護理系
元培醫事科技大學護理系
中華醫事科技大學護理系
美和科技大學護理系",1,1
國立臺東高中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
國立臺東大學數學系
國立金門大學都市計畫與景觀學系
國立虎尾科技大學車輛工程系
國立高雄海洋科技大學漁業生產與管理系",0,0
國立屏東大學民生校區,"逢甲大學應用數學系
國立屏東大學應用數學系
國立屏東大學應用物理系物理組
義守大學財務與計算數學系
國立勤益科技大學資訊工程系
朝陽科技大學應用化學系",0,0
國立武陵高中,"逢甲大學應用數學系
東海大學工業工程與經營資訊學系
靜宜大學資訊管理學系",0,0
私立弘文高中,"逢甲大學應用數學系
逢甲大學統計學系
實踐大學會計學系(臺北校區)",1,0
國立台中女中,"逢甲大學應用數學系
逢甲大學電子工程學系
逢甲大學資訊電機學院不分系榮譽班",1,1
國立臺南一中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組",1,1
國立豐原高中,"逢甲大學應用數學系
逢甲大學通訊工程學系",1,0
國立臺南女中,"逢甲大學應用數學系
聖約翰科技大學電子工程系
龍華科技大學電子工程系
朝陽科技大學資訊管理系資訊管理組",1,1
國立臺中一中,"逢甲大學應用數學系
逢甲大學機械與電腦輔助工程學系
逢甲大學航太與系統工程學系
逢甲大學自動控制工程學系
靜宜大學資訊工程學系",1,0
國立彰化師範大學,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學通訊工程學系
國立嘉義大學應用數學系
亞洲大學資訊工程學系數位內容組
國立聯合大學資訊工程學系
國立勤益科技大學資訊工程系
朝陽科技大學資訊工程系
龍華科技大學資訊網路工程系
明新科技大學資訊工程系
正修科技大學電子工程系",1,1
國立宜蘭大學,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
東海大學資訊工程學系數位創意組
淡江大學物理學系應用物理組",0,0
臺中市立惠文高中,"逢甲大學應用數學系
靜宜大學觀光事業學系",1,1
國立臺中二中,"逢甲大學應用數學系
逢甲大學統計學系
靜宜大學財務與計算數學系計算數學組
靜宜大學統計資訊學系
嶺東科技大學財務金融系",1,0
私立明德高中,"逢甲大學應用數學系
靜宜大學會計學系
靜宜大學財務金融學系
亞洲大學會計與資訊學系管理應用組
亞洲大學財務金融學系金融科技組
亞洲大學財經法律學系財經法律組",1,1
國立竹北高中,"逢甲大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組",1,1
高雄市立中山高中,"逢甲大學應用數學系
靜宜大學財務金融學系",1,1
國立員林高中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系",1,1
國立清水高中,"逢甲大學應用數學系
銘傳大學生物科技學系(桃園校區)
國立聯合大學能源工程學系
明志科技大學化學工程系",0,0
國立華僑高中,"逢甲大學應用數學系
東吳大學數學系
東吳大學化學系
東海大學應用數學系
輔仁大學數學系應用數學組
國立勤益科技大學化工與材料工程系
明志科技大學化學工程系
致理科技大學國際貿易系",0,0
國立屏東大學民生校區,"逢甲大學應用數學系
靜宜大學應用化學系
靜宜大學資訊傳播工程學系
義守大學材料科學與工程學系
朝陽科技大學營建工程系
龍華科技大學工業管理系
明新科技大學工業工程與管理系",1,1
國立台中一中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學統計學系",0,0
國立中壢高商,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
逢甲大學資訊電機學院不分系榮譽班",0,0
桃園市立武陵高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
中華大學應用日語學系觀光組",1,1
靜宜大學,"逢甲大學應用數學系
東海大學應用物理學系
東海大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學應用化學系
朝陽科技大學應用化學系
環球科技大學生物技術系",0,0
國立彰化師範大學,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學經濟學系",0,0
臺中市立臺中二中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
東海大學統計學系(大數據與決策管理組)
國立東華大學應用數學系統計科學組
國立臺東大學應用數學系
亞洲大學資訊傳播學系影視媒體組
朝陽科技大學工業工程與管理系",0,0
國立中興高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學環境科學與工程學系
淡江大學數學學系數學組",1,1
新竹市立建功高中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
東海大學統計學系(社會組)
靜宜大學財務與計算數學系計算數學組",0,0
國立嘉義女中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系(生化工程組)
東海大學經濟學系一般經濟組
逢甲大學經濟學系
逢甲大學資訊電機學院不分系榮譽班
南臺科技大學化學工程與材料工程系",1,1
新竹市立建功高中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系",1,1
國立清水高中,"逢甲大學應用數學系
逢甲大學統計學系
靜宜大學財務與計算數學系計算數學組
靜宜大學財務與計算數學系財務工程組
靜宜大學統計資訊學系
弘光科技大學資訊管理系",1,0
國立台中二中,"逢甲大學應用數學系
逢甲大學財務金融學系
靜宜大學財務與計算數學系財務工程組-類繁星",1,1
國立鳳新高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學統計學系
國立臺中教育大學數學教育學系
國立臺東大學數學系
國立高雄海洋科技大學漁業生產與管理系",0,0
國立新竹女中,"逢甲大學應用數學系
淡江大學數學學系數學組
逢甲大學統計學系
國立聯合大學環境與安全衛生工程學系
國立聯合大學能源工程學系",0,0
國立彰化師範大學,"逢甲大學應用數學系
靜宜大學企業管理學系
朝陽科技大學資訊管理系
嶺東科技大學國際企業系",1,1
國立台中女中,"逢甲大學應用數學系
中原大學電子工程學系
中原大學電機工程學系",0,0
國立虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
輔仁大學數學系應用數學組",0,0
國立員林高中,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學資訊工程學系
朝陽科技大學資訊工程系",1,1
國立虎尾高中,"逢甲大學應用數學系
逢甲大學統計學系商業大數據組
逢甲大學水利工程與資源保育學系",1,0
私立海星高中,"逢甲大學應用數學系
東海大學統計學系(社會組)
東海大學經濟學系產業經濟組
淡江大學數學學系數學組
銘傳大學財務金融學系財務金融組(台北校區)",0,0
臺中市立臺中一中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學會計學系
亞洲大學會計與資訊學系管理應用組
國立聯合大學臺灣語文與傳播學系",1,1
國立員林崇實高工,"逢甲大學應用數學系
逢甲大學光電學系",1,0
國立竹北高中,"逢甲大學應用數學系
中原大學物理學系物理組
逢甲大學光電學系",1,1
國立高雄師範大學,逢甲大學應用數學系,1,1
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學工業與系統工程學系工程組",0,0
國立嘉義女中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系
靜宜大學國際企業學系
靜宜大學財務金融學系
亞洲大學經營管理學系企業創新管理組
亞洲大學財務金融學系金融科技組
朝陽科技大學資訊管理系資訊管理組",0,0
國立臺中一中,"逢甲大學應用數學系
東海大學統計學系(自然組)
靜宜大學財務與計算數學系計算數學組",1,1
台北市立成淵高中,"逢甲大學應用數學系
玄奘大學宗教學系
國立聯合大學環境與安全衛生工程學系",0,0
私立道明高中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
靜宜大學財務與計算數學系財務工程組
靜宜大學資訊傳播工程學系(遊戲設計組)
國立臺東大學資訊管理學系
義守大學電子工程學系
正修科技大學電子工程系綠能科技應用組
崑山科技大學材料工程系
南臺科技大學電機工程系控制與晶片組",0,0
國立彰化師範大學,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組",1,1
國立中興大學附中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學風險管理與保險學系",1,1
國立嘉義高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學化學系化學組
中原大學化學系材料化學組
東海大學應用數學系",0,0
高雄市立高雄高中,"逢甲大學應用數學系
中原大學應用數學系
國立屏東大學應用數學系",0,0
高雄市立左營高中,"逢甲大學應用數學系
淡江大學統計學系
靜宜大學資訊工程學系
世新大學資訊管理學系資訊科技組
朝陽科技大學資訊管理系資訊管理組
明新科技大學資訊工程系
致理科技大學資訊管理系",0,0
國立臺中文華高中,逢甲大學應用數學系,1,1
國立中興高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學機械工程學系
中原大學工業與系統工程學系工程組
逢甲大學纖維與複合材料學系
逢甲大學環境工程與科學學系",0,0
靜宜大學,"逢甲大學應用數學系
國立臺中教育大學數學教育學系
國立東華大學應用數學系數學科學組
國立屏東大學應用數學系
國立聯合大學資訊工程學系",0,0
國立屏東女中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
靜宜大學財務金融學系
長榮大學財務金融學系
中華醫事科技大學護理系
美和科技大學護理系
長庚科技大學護理系(林口校區)",1,1
國立文華高中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
輔仁大學數學系應用數學組",1,1
國立彰化師大附屬高工,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
輔仁大學數學系純數學組
輔仁大學數學系應用數學組",1,1
國立斗六高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學統計學系",1,1
臺北市立大同高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
銘傳大學應用統計與資料科學學系(桃園校區)",1,1
國立臺灣師範大學,"逢甲大學應用數學系
中國文化大學應用數學系
中國文化大學經濟學系
中國文化大學財務金融學系財務金融組
世新大學經濟學系",0,0
高雄市立高雄高中,"逢甲大學應用數學系
中原大學應用數學系
明志科技大學材料工程系",1,1
國立員林高中,"逢甲大學應用數學系
國立聯合大學經營管理學系",0,0
國立新營高中,"逢甲大學應用數學系
淡江大學統計學系
靜宜大學財務與計算數學系計算數學組
亞洲大學經營管理學系行銷管理組",1,1
私立道明高中,"逢甲大學應用數學系
中原大學應用數學系
朝陽科技大學營建工程系
健行科技大學土木工程系
高苑科技大學土木工程系工程技術組",1,1
臺中市立臺中二中,"逢甲大學應用數學系
靜宜大學財務金融學系",1,1
臺中市立惠文高中,"逢甲大學應用數學系
東海大學應用數學系",1,1
國立員林高中,"逢甲大學應用數學系
靜宜大學化粧品科學系-類繁星
義守大學醫務管理學系
義守大學國際觀光餐旅學系(國際學院)",0,0
國立員林崇實高工,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(社會組)
逢甲大學財稅學系
逢甲大學統計學系
逢甲大學都市計畫與空間資訊學系空間資訊組",0,0
國立鳳新高中,"逢甲大學應用數學系
東吳大學數學系
中國文化大學電機工程學系
義守大學電機工程學系
義守大學財務與計算數學系
朝陽科技大學營建工程系
正修科技大學電機工程系電機與控制組
正修科技大學電子工程系綠能科技應用組
遠東科技大學電機工程系",1,1
國立新營高中,"逢甲大學應用數學系
中原大學應用數學系
國立臺南大學應用數學系
國立臺東大學應用數學系
國立嘉義大學應用數學系",0,0
臺中市立惠文高中,"逢甲大學應用數學系
東海大學資訊工程學系數位創意組
東海大學資訊工程學系軟體工程組
逢甲大學資訊工程學系
國立臺中教育大學數學教育學系
國立勤益科技大學冷凍空調與能源系
國立勤益科技大學資訊工程系",1,0
臺北市立松山高中,"逢甲大學應用數學系
世新大學資訊管理學系資訊管理組",1,1
國立新營高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
國立屏東大學應用數學系",0,0
國立臺中女中,"逢甲大學應用數學系
國立暨南國際大學資訊管理學系
國立暨南國際大學土木工程學系
修平科技大學機械工程系
國立勤益科技大學資訊工程系
國立澎湖科技大學資訊工程系
國立屏東科技大學水土保持系",0,0
逢甲大學,"逢甲大學應用數學系
逢甲大學自動控制工程學系",1,0
高雄市立中山高中,"逢甲大學應用數學系
國立臺東大學文化資源與休閒產業學系",1,1
