考區,申請系所,FCU,FCU_AM
高雄市立高雄高中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學光電學系
義守大學電子工程學系
義守大學資訊工程學系",1,1
國立員林崇實高工,"逢甲大學應用數學系
東海大學環境科學與工程學系
逢甲大學環境工程與科學學系",1,1
國立雲林科技大學,"逢甲大學應用數學系
逢甲大學通訊工程學系
逢甲大學水利工程與資源保育學系
中國文化大學光電物理學系
靜宜大學資訊管理學系",1,0
國立嘉義女中,"逢甲大學應用數學系
東海大學應用數學系
國立屏東教育大學應用數學系
國立台東大學數學系",0,0
國立鳳新高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組
實踐大學金融管理學系(高雄校區)",1,1
新竹市立建功高中,"逢甲大學應用數學系
中國文化大學應用數學系
中國文化大學資訊工程學系
靜宜大學資訊管理學系
銘傳大學應用統計與資料科學學系大數據管理組(桃園校區)
明新科技大學資訊工程系",0,0
國立中興高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(巨量資料管理組)
大同大學電機工程學系
國立臺東大學資訊工程學系",0,0
新北市立板橋高中,逢甲大學應用數學系,1,1
國立屏東女中,"逢甲大學應用數學系
東海大學應用數學系
國立屏東教育大學資訊科學系
國立屏東教育大學應用數學系",0,0
國立高雄師大附中,"逢甲大學應用數學系
靜宜大學資訊工程學系-一般組",1,1
國立陽明高中,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
中國文化大學機械工程學系",0,0
國立台灣師範大學,"逢甲大學應用數學系
淡江大學土木工程學系營建企業組
淡江大學水資源及環境工程學系水資源工程組
逢甲大學都市計劃與空間資訊學系都市計劃組
輔仁大學數學系應用數學組
義守大學土木與生態工程學系
國立雲林科技大學環境與安全衛生工程系
國立虎尾科技大學光電工程系
嘉南藥理科技大學保健營養系
大仁科技大學食品科技系保健營養組",0,0
臺中市立清水高中,"逢甲大學應用數學系
逢甲大學航太與系統工程學系
國立臺中教育大學數學教育學系
國立臺北教育大學數學暨資訊教育學系數學組",0,0
私立明德高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學財務與計算數學系計算數學組
國立臺東大學應用數學系
國立勤益科技大學資訊工程系
建國科技大學機械工程系
建國科技大學電子工程系
建國科技大學資訊管理系
修平科技大學機械工程系",0,0
臺中市立惠文高中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)",1,1
國立員林高中,"逢甲大學應用數學系
逢甲大學土木工程學系",1,0
國立彰化師範大學,"逢甲大學應用數學系
中原大學應用數學系",1,1
臺北市立華江高中,"逢甲大學應用數學系
東吳大學數學系
國立東華大學應用數學系數學科學組",0,0
新竹市立建功高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)",0,0
私立弘文高中,"逢甲大學應用數學系
靜宜大學財務金融學系
靜宜大學財務金融學系-類繁星
靜宜大學資訊工程學系",0,0
國立臺灣海洋大學,"逢甲大學應用數學系
東海大學應用數學系",1,1
高雄市立中正高中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
國立屏東教育大學社會發展學系
國立屏東教育大學應用數學系
國立台東大學數學系
國立嘉義大學木質材料與設計學系
國立屏東科技大學水土保持系
朝陽科技大學工業工程與管理系
弘光科技大學食品科技系
中台科技大學食品科技系",1,1
國立澎湖科技大學,"逢甲大學應用數學系
高雄醫學大學醫學影像暨放射科學系
東海大學社會工作學系
中山醫學大學職能治療學系
國立中正大學心理學系
國立臺北大學社會工作學系",1,1
高雄市立中山高中,"逢甲大學應用數學系
國立屏東大學應用數學系",1,1
高雄市立左營高中,"逢甲大學應用數學系
義守大學應用數學系資訊科學組",1,1
國立台中二中,"逢甲大學應用數學系
東海大學經濟學系一般經濟組",0,0
桃園市立武陵高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學機械工程學系
逢甲大學機械與電腦輔助工程學系
元智大學機械工程學系",0,0
逢甲大學,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學航太與系統工程學系
逢甲大學統計學系
逢甲大學資訊電機學院不分系榮譽班",1,0
國立屏東女中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
靜宜大學法律學系",1,1
國立武陵高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學統計學系",0,0
臺中市立臺中一中,"逢甲大學應用數學系
逢甲大學光電科學與工程學系",1,0
高雄市立中山高中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學水利工程與資源保育學系
靜宜大學化粧品科學系
國立屏東大學科普傳播學系
義守大學財務與計算數學系
嘉南藥理大學保健營養系
輔英科技大學健康美容系
大仁科技大學食品科技系食品技術與應用組
中臺科技大學醫療暨健康產業管理系
元培醫事科技大學醫學檢驗生物技術系",1,0
高雄市立高雄高中,"逢甲大學應用數學系
國立屏東大學應用數學系",1,1
國立竹北高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學水資源及環境工程學系環境工程組
逢甲大學統計學系商業大數據組
逢甲大學財務工程與精算學士學位學程",0,0
私立光隆家商,逢甲大學應用數學系,1,1
國立臺南二中,"逢甲大學應用數學系
東海大學環境科學與工程學系
長榮大學航運管理學系產學發展組",0,0
國立虎尾高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
嘉南藥理大學食品科技系
朝陽科技大學資訊管理系資訊管理組
國立勤益科技大學資訊工程系",1,0
國立文華高中,"逢甲大學應用數學系
逢甲大學電子工程學系
逢甲大學自動控制工程學系
逢甲大學通訊工程學系",1,0
國立鳳新高中,"逢甲大學應用數學系
國立臺東大學應用數學系
國立勤益科技大學化工與材料工程系",0,0
私立明德女中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
靜宜大學資訊傳播工程學系
亞洲大學會計與資訊學系管理應用組
朝陽科技大學資訊管理系
弘光科技大學健康事業管理系
嶺東科技大學企業管理系
僑光科技大學行銷與流通管理系",1,1
國立屏東女中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學統計學系",0,0
私立弘文高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組
銘傳大學應用統計資訊學系(桃園校區)
銘傳大學資訊工程學系(桃園校區)
亞洲大學資訊工程學系資電應用組
亞洲大學經營管理學系行銷管理組
朝陽科技大學資訊與通訊系
南臺科技大學電機工程系控制與晶片組
南臺科技大學管理與資訊系工業管理組
崑山科技大學機械工程系
僑光科技大學行銷與流通管理系",0,0
國立彰化師範大學,"逢甲大學應用數學系
靜宜大學財務金融學系-一般組
世新大學傳播管理學系
朝陽科技大學財務金融系",1,1
高雄市立中山高中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
國立東華大學應用數學系數學科學組
義守大學財務與計算數學系",0,0
臺北市立大同高中,"逢甲大學應用數學系
中國文化大學應用數學系",1,1
國立嘉義高中,"逢甲大學應用數學系
中國文化大學資訊工程學系
義守大學資訊工程學系
亞洲大學資訊工程學系大數據與物聯網組
國立澎湖科技大學電信工程系
朝陽科技大學資訊與通訊系
南臺科技大學電機工程系控制與晶片組
龍華科技大學資訊網路工程系
元培醫事科技大學食品科學系",1,1
國立中壢高商,"逢甲大學應用數學系
東海大學應用物理學系材料及奈米科技組
東海大學應用物理學系光電組
東海大學應用數學系",0,0
逢甲大學,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學水利工程與資源保育學系
靜宜大學統計資訊學系-類繁星
朝陽科技大學保險金融管理系",1,1
國立中興大學附中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)",1,1
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
淡江大學統計學系
國立東華大學會計學系
實踐大學會計學系(臺北校區)
元培醫事科技大學醫學檢驗生物技術系
明志科技大學材料工程系
南臺科技大學生物科技系
朝陽科技大學應用化學系生化科技組",0,0
國立虎尾高中,"逢甲大學應用數學系
東海大學應用數學系
淡江大學資訊工程學系
靜宜大學資訊工程學系
輔仁大學數學系資訊數學組",0,0
靜宜大學,"逢甲大學應用數學系
東海大學應用數學系
靜宜大學資料科學暨大數據分析與應用學系-一般組
國立澎湖科技大學電信工程系
國立澎湖科技大學資訊工程系
崑山科技大學機械工程系",1,1
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(大數據與資料科學組)
淡江大學統計學系",1,1
私立長榮高中,"逢甲大學應用數學系
東海大學應用數學系
淡江大學統計學系
逢甲大學統計學系商業大數據組
輔仁大學數學系應用數學組",1,1
新北市立板橋高中,"逢甲大學應用數學系
東海大學統計學系(社會組)
中國文化大學應用數學系
實踐大學金融管理學系(高雄校區)",0,0
高雄市立左營高中,"逢甲大學應用數學系
義守大學應用數學系財務分析組
義守大學財務金融學系
嘉南藥理科技大學休閒保健管理系",1,1
國立新竹女中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
臺北市立大學數學系",0,0
臺南市立南新國中,"義守大學電機工程學系
義守大學機械與自動化工程學系
崑山科技大學機械工程系
明新科技大學電機工程系
遠東科技大學機械工程系
遠東科技大學電機工程系",1,1
國立臺中文華高中,"逢甲大學應用數學系
東海大學生命科學系生物醫學組
逢甲大學統計學系",1,1
國立苗栗高中,"逢甲大學應用數學系
靜宜大學統計資訊學系
銘傳大學應用統計資訊學系(桃園校區)
世新大學資訊管理學系資訊管理組",1,1
逢甲大學,"逢甲大學應用數學系
逢甲大學統計學系
靜宜大學企業管理學系
靜宜大學會計學系
靜宜大學資訊管理學系",1,1
臺中市立臺中女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學材料科學與工程學系
逢甲大學環境工程與科學學系
逢甲大學光電科學與工程學系
國立嘉義大學應用數學系",1,1
國立虎尾高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
靜宜大學資訊工程學系
南華大學資訊工程學系自然組
亞洲大學行動商務與多媒體應用學系多媒體應用組",1,0
國立嘉義高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
逢甲大學通訊工程學系
銘傳大學資訊工程學系(桃園校區)
朝陽科技大學資訊工程系
明志科技大學電子工程系",1,0
國立苗栗高中,逢甲大學應用數學系,1,1
國立臺中二中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
逢甲大學光電學系
亞洲大學經營管理學系行銷管理組",1,1
國立新營高中,"逢甲大學應用數學系
長榮大學航運管理學系
南華大學建築與景觀學系(自然組)",1,1
國立臺南女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
靜宜大學財務與計算數學系計算數學組",0,0
私立長榮高中,"逢甲大學應用數學系
靜宜大學資訊工程學系
義守大學材料科學與工程學系
長榮大學資訊工程學系互動多媒體組",1,1
私立長榮高中,"逢甲大學應用數學系
東海大學應用數學系
南臺科技大學電機工程系控制與晶片組",1,1
高雄市立高雄高中,"逢甲大學應用數學系
東海大學應用數學系
國立屏東大學電腦與智慧型機器人學士學位學程",0,0
國立高雄師大附中,"逢甲大學應用數學系
淡江大學數學學系數學組
淡江大學機械與機電工程學系精密機械組
逢甲大學航太與系統工程學系
國立勤益科技大學資訊工程系
國立高雄海洋科技大學造船及海洋工程系",0,0
臺中市立臺中一中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
朝陽科技大學工業工程與管理系",1,1
臺中市立惠文高中,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學資料科學暨大數據分析與應用學系
朝陽科技大學工業工程與管理系
南臺科技大學工業管理與資訊系工業管理組",1,1
國立清水高中,"逢甲大學應用數學系
靜宜大學資訊工程學系(智慧電子與數位系統設計組)
靜宜大學資訊工程學系(智慧電子與數位系統設計組)-繁星類
靜宜大學資訊工程學系(網路技術與雲端運算組)
靜宜大學資訊傳播工程學系(遊戲設計組)",1,1
國立員林高中,"逢甲大學應用數學系
靜宜大學應用化學系
國立臺東大學應用科學系化學及奈米科學組
國立臺東大學應用科學系應用物理組",1,1
臺中市立臺中女中,"逢甲大學應用數學系
淡江大學數學學系數學組
大同大學資訊工程學系",0,0
高雄市立高雄女中,"逢甲大學應用數學系
逢甲大學統計學系大數據分析與市場決策組
逢甲大學通訊工程學系
大同大學機械工程學系電子機械組
大同大學資訊工程學系
長庚大學資訊管理學系
明志科技大學化學工程系",1,1
國立屏東教育大學,"逢甲大學應用數學系
國立臺東大學數學系",1,1
國立臺中文華高中,"逢甲大學應用數學系
中原大學應用數學系
大葉大學藥用植物與保健學系(中藥保健組)
大葉大學藥用植物與保健學系(藥粧經絡組)
輔英科技大學護理系
元培醫事科技大學護理系
中華醫事科技大學護理系
長庚科技大學護理系(嘉義校區)",1,1
國立中央大學附屬中壢高中,逢甲大學應用數學系,1,1
桃園市立陽明高中,"逢甲大學應用數學系
銘傳大學電子工程學系計算機應用組(桃園校區)",1,1
國立台中二中,"逢甲大學應用數學系
逢甲大學財稅學系
逢甲大學經濟學系
靜宜大學財務與計算數學系財務工程組",1,1
國立嘉義女中,"逢甲大學應用數學系
中原大學應用數學系
中原大學工業與系統工程學系工程組
大葉大學空間設計學系(室內設計組)
亞洲大學室內設計學系商業空間組
亞洲大學室內設計學系住宅空間組
樹德科技大學室內設計系
高苑科技大學建築系室內設計組
中華科技大學建築系室內設計組(台北校區)",0,0
臺中市立臺中一中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
淡江大學機械與機電工程學系精密機械組
逢甲大學材料科學與工程學系
輔仁大學數學系應用數學組",0,0
臺北市立?湖高中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系資料科學與數理統計組
國立東華大學應用數學系統計科學組",0,0
國立臺南女中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
東海大學應用數學系
淡江大學數學學系資料科學與數理統計組",0,0
國立竹北高中,"逢甲大學應用數學系
中國文化大學應用數學系
國立臺東大學應用數學系",1,1
新北市立新北高中,"逢甲大學應用數學系
大葉大學空間設計學系(建築組)
昆山科技大學空間設計系
中國科技大學建築系(台北校區)",1,1
靜宜大學,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
逢甲大學水利工程與資源保育學系",1,0
國立鳳新高中,"逢甲大學應用數學系
國立屏東教育大學應用數學系",0,0
臺中市立清水高中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學經濟學系
靜宜大學財務金融學系",1,0
國立新竹高中,"逢甲大學應用數學系
中原大學電子工程學系
淡江大學數學學系數學組
輔仁大學數學系資訊數學組",0,0
新竹市立建功高中,"逢甲大學應用數學系
淡江大學保險學系
逢甲大學統計學系",1,0
國立苗栗高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
朝陽科技大學應用化學系",0,0
國立員林崇實高工,"逢甲大學應用數學系
東海大學化學系化學生物組",1,1
臺中市立臺中一中,"逢甲大學應用數學系
逢甲大學財務工程與精算學士學位學程
靜宜大學會計學系
亞洲大學財務金融學系投資理財組",1,0
國立新營高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
國立屏東大學應用數學系",0,0
臺北市立?湖高中,"逢甲大學應用數學系
淡江大學數學學系數學組
中國文化大學應用數學系",0,0
國立屏東女中,"逢甲大學應用數學系
東海大學應用數學系
東海大學會計學系
逢甲大學財務工程與精算學士學位學程",1,0
國立臺南一中,"逢甲大學應用數學系
義守大學通訊工程學系",1,1
國立虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學化學工程與材料工程學系
義守大學化學工程學系
南臺科技大學化學工程與材料工程系",0,0
國立臺灣海洋大學,"逢甲大學應用數學系
東海大學應用數學系
中國文化大學應用數學系
靜宜大學財務與計算數學系財務工程組",0,0
國立華僑高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
中國文化大學資訊工程學系
靜宜大學資訊工程學系",1,1
私立育達高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
逢甲大學資訊工程學系
輔仁大學數學系應用數學組",0,0
國立新營高中,逢甲大學應用數學系,1,1
國立中興大學附屬高中,"逢甲大學應用數學系
東海大學統計學系(社會組)
淡江大學統計學系",0,0
國立竹北高中,"逢甲大學應用數學系
逢甲大學資訊電機學院學士班
國立聯合大學能源工程學系",1,1
國立金門大學,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學財務與計算數學系財務工程組
國立臺東大學應用數學系
銘傳大學應用統計資訊學系(桃園校區)",0,0
國立嘉義女中,"逢甲大學應用數學系
中原大學物理學系物理組",1,1
國立陽明高中,,1,1
臺中市立臺中文華高中,"逢甲大學應用數學系
銘傳大學資訊工程學系(桃園校區)",1,1
新北市立錦和高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學企業管理學系高科技業管理組
東海大學統計學系(決策管理組)
淡江大學統計學系",0,0
臺中市立清水高中,"逢甲大學應用數學系
國立高雄師範大學數學系應用數學組
國立臺南大學應用數學系
國立屏東大學應用數學系
國立嘉義大學應用數學系",0,0
國立中央大學附屬中壢高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系",0,0
國立新竹女中,"逢甲大學應用數學系
中原大學應用數學系
中原大學生物醫學工程學系",0,0
國立中興大學附屬高中,"逢甲大學應用數學系
東海大學應用數學系
國立臺中教育大學數學教育學系
國立東華大學應用數學系數學科學組
國立臺東大學應用數學系",0,0
新北市立新莊高中,"逢甲大學應用數學系
中原大學應用數學系",0,0
臺中市立惠文高中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
國立勤益科技大學冷凍空調與能源系",1,1
私立長榮高中,"逢甲大學應用數學系
逢甲大學經濟學系",1,1
國立陽明高中,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
逢甲大學統計學系",1,0
國立彰化師範大學,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
東海大學統計學系(決策管理組)",1,1
私立道明高中,"逢甲大學應用數學系
中原大學物理學系物理組
東海大學應用物理學系
國立臺東大學資訊工程學系
國立澎湖科技大學電信工程系
朝陽科技大學建築系室內設計組
南臺科技大學電機工程系控制與晶片組",0,0
國立台中二中,"逢甲大學應用數學系
東海大學應用數學系
東海大學電機工程學系IC設計與無線通訊組
輔仁大學數學系應用數學組
國立聯合大學機械工程學系
國立高雄應用科技大學資訊工程系",0,0
國立新竹女中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
淡江大學數學學系數學組",0,0
國立彰化師範大學,逢甲大學應用數學系,1,1
國立虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
淡江大學數學學系數學組
國立臺東大學應用數學系
國立勤益科技大學資訊工程系",0,0
國立台中女中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系
逢甲大學工業工程與系統管理學系
逢甲大學材料科學與工程學系
輔仁大學數學系純數學組",1,1
國立清水高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學電子工程學系
逢甲大學電機工程學系",0,0
私立長榮高中,"逢甲大學應用數學系
東海大學應用數學系
國立臺東大學應用科學系化學及奈米科學組
長榮大學資訊管理學系手機軟體設計組
長榮大學數位內容設計學系遊戲與APP應用組
國立澎湖科技大學電信工程系
南臺科技大學電機工程系控制與晶片組
崑山科技大學機械工程系
嘉南藥理大學環境工程與科學系
高苑科技大學電子工程系",0,0
國立台中一中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
靜宜大學資訊傳播工程學系",0,0
國立斗六高中,"逢甲大學應用數學系
大同大學電機工程學系",0,0
私立四維高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
靜宜大學資訊工程學系
亞洲大學資訊工程學系資電應用組",1,1
高雄市立左營高中,"逢甲大學應用數學系
逢甲大學統計學系
靜宜大學財務與計算數學系計算數學組-類繁星
靜宜大學會計學系-類繁星",1,1
國立台中女中,"逢甲大學應用數學系
東海大學應用物理學系光電組
東海大學應用數學系
逢甲大學電子工程學系",1,1
私立明德高中,"逢甲大學應用數學系
淡江大學數學學系數學組
國立嘉義大學體育與健康休閒學系
國立聯合大學電子工程學系",0,0
國立華僑高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學統計學系
逢甲大學統計學系",0,0
私立明德中學,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
大同大學機械工程學系精密機械組
銘傳大學電腦與通訊工程學系(桃園校區)",1,1
國立中央大學附屬中壢高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
逢甲大學統計學系
逢甲大學財務工程與精算學士學位學程",1,1
國立桃園農工,"逢甲大學應用數學系
國立臺東大學應用數學系",1,1
國立中興高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學化學工程與材料工程學系",0,0
國立文華高中,"逢甲大學應用數學系
靜宜大學統計資訊學系-類繁星
弘光科技大學環境與安全衛生工程系環境工程組
中台科技大學環境與安全衛生工程系",1,1
新北市立新莊國中,"逢甲大學應用數學系
中原大學應用數學系
元培醫事科技大學生物科技暨製藥技術系",1,1
臺中市立文華高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系",1,1
靜宜大學,"逢甲大學應用數學系
靜宜大學統計資訊學系
長榮大學健康心理學系
南華大學企業管理學系經營管理組",0,0
私立道明高中,"逢甲大學應用數學系
義守大學電機工程學系
義守大學創意商品設計學系
亞洲大學心理學系諮商與臨床心理組
亞洲大學創意商品設計學系流行精品設計組
朝陽科技大學建築系建築組
中國科技大學室內設計系(新竹校區)",0,0
新北市立錦和高中,逢甲大學應用數學系,1,1
私立長榮高中,"逢甲大學應用數學系
逢甲大學統計學系
中國文化大學應用數學系
靜宜大學會計學系
實踐大學國際貿易學系(高雄校區)
實踐大學國際企業管理學系(高雄校區)",0,0
國立臺中一中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
輔仁大學數學系純數學組",0,0
國立臺中二中,"逢甲大學應用數學系
東海大學統計學系(社會組)
中國文化大學會計學系
靜宜大學資訊傳播工程學系(遊戲設計組)
台南應用科技大學旅館管理系",1,1
私立復旦高中,"逢甲大學應用數學系
大葉大學會計資訊學系(會計管理組)
銘傳大學會計學系會計審計組(臺北校區)
亞洲大學會計與資訊學系管理應用組
亞洲大學財務金融學系金融科技組",0,0
國立新竹高中,逢甲大學應用數學系,1,1
國立新營高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
國立臺東大學應用數學系",1,1
國立苗栗高中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)",1,1
私立明德中學,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
國立臺東大學應用數學系",1,1
國立中興大學附中,"逢甲大學應用數學系
中原大學應用數學系
國立東華大學應用數學系數學科學組
長榮大學消防安全學士學位學程消防防災技術組
長榮大學無人機應用學士學位學程飛行系統應用組
南臺科技大學電機工程系控制與晶片組
萬能科技大學航空光機電系航空機械組
中華科技大學航空機械系(新竹校區)
中華科技大學航空電子系(新竹校區)",0,0
國立台中一中,"逢甲大學應用數學系
靜宜大學企業管理學系
靜宜大學觀光事業學系",0,0
國立宜蘭大學,"逢甲大學應用數學系
國立臺東大學資訊工程學系",1,1
臺北市立百齡高中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
中國文化大學電機工程學系
國立東華大學應用數學系數學科學組
義守大學電機工程學系",0,0
國立彰化師範大學,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學纖維與複合材料學系",1,1
新北市立三民高中,"逢甲大學應用數學系
靜宜大學財務工程學系-類繁星
銘傳大學應用統計與資料科學學系大數據管理組(桃園校區)",0,0
高雄市立中山高中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系",1,1
私立長榮高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
逢甲大學統計學系
國立屏東大學應用數學系",0,0
國立新竹女中,"逢甲大學應用數學系
中原大學應用數學系
國立臺灣海洋大學商船學系",0,0
臺中市立臺中二中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系(材料工程組)
逢甲大學化學工程學系
逢甲大學材料科學與工程學系
國立臺中教育大學數學教育學系
國立嘉義大學應用數學系
國立勤益科技大學化工與材料工程系",0,0
國立中興高中,"逢甲大學應用數學系
國立屏東大學應用數學系
國立屏東大學資訊科學系
國立聯合大學能源工程學系
國立聯合大學光電工程學系",1,1
國立臺中一中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
逢甲大學統計學系
逢甲大學資訊電機學院不分系榮譽班",0,0
國立臺灣師範大學,"逢甲大學應用數學系
淡江大學數學學系數學組
輔仁大學數學系純數學組",1,1
國立中壢高商,"逢甲大學應用數學系
中原大學應用數學系
東海大學化學系化學生物組",0,0
臺南市立南新國中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
中國文化大學機械工程學系
義守大學機械與自動化工程學系",1,0
臺中市立臺中一中,"逢甲大學應用數學系
中原大學應用數學系
元智大學資訊傳播學系科技組
銘傳大學資訊工程學系(桃園校區)",0,0
台北市立成淵高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
世新大學經濟學系",1,1
靜宜大學,"逢甲大學應用數學系
中原大學應用數學系
東海大學生命科學系生態暨生物多樣性組
東海大學應用數學系",0,0
國立家齊女中,"逢甲大學應用數學系
逢甲大學機械與電腦輔助工程學系
逢甲大學通訊工程學系",1,0
私立長榮高中,"逢甲大學應用數學系
逢甲大學都市計畫與空間資訊學系都市計畫組
逢甲大學都市計畫與空間資訊學系空間資訊組
國立臺東大學數學系",1,0
國立屏東女中,"逢甲大學應用數學系
逢甲大學財務工程與精算學士學位學程
國立臺東大學應用數學系",0,0
國立宜蘭大學,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組
銘傳大學經濟與金融學系(桃園校區)
銘傳大學應用中國文學系(桃園校區)
銘傳大學社會與安全管理學系(桃園校區)",0,0
國立桃園高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
輔仁大學數學系應用數學組
國立東華大學應用數學系數學科學組
國立東華大學應用數學系統計科學組",0,0
